ST	adk	atpG	frdB	fucK	mdh	pgi	recA	
241	5	33	34	5	77	45	3	
242	7	33	7	13	66	1	29	
243	1	1	1	14	59	14	5	
244	55	11	16	14	102	2	3	
245	1	24	18	18	27	1	5	
246	28	14	4	3	22	3	8	
247	16	5	22	15	30	40	3	
248	14	8	16	11	17	2	49	
249	26	17	8	1	78	57	50	
250	47	5	16	21	11	54	42	
251	18	6	3	11	24	28	12	
252	3	2	65	1	64	78	48	
253	60	51	16	46	15	2	31	
254	6	20	41	40	30	63	43	
255	63	54	7	1	91	31	21	
256	40	83	63	48	169	145	97	
257	11	2	15	8	71	61	3	
258	1	10	1	1	4	6	5	
259	1	1	1	14	89	62	37	
260	11	8	29	7	90	57	35	
