ST	adk	atpG	frdB	fucK	mdh	pgi	recA	
221	10	20	21	5	22	7	8	
222	6	20	23	1	33	29	7	
223	10	14	4	5	100	7	8	
224	10	14	62	5	85	7	8	
225	10	47	4	5	4	7	8	
226	10	14	53	5	4	7	8	
227	10	14	4	5	7	7	8	
228	10	14	4	5	4	74	8	
229	10	48	4	5	4	7	8	
230	10	14	4	5	4	75	8	
231	42	14	4	5	4	7	8	
232	6	30	23	43	33	29	7	
233	14	7	13	7	17	13	1	
234	5	33	23	15	87	58	29	
235	56	24	64	15	93	21	47	
236	7	33	7	15	66	1	29	
237	33	33	7	15	7	58	29	
238	5	33	7	15	26	77	29	
239	42	2	57	14	62	70	4	
240	42	2	57	14	7	70	4	
